distribution,size,deterministic_avg_sec,randomized_avg_sec
random,100,3.864560000010897e-05,6.67974000009508e-05
random,500,0.00029577700000089636,0.00039060820000003105
random,1000,0.0006517246000015576,0.0008656452000010972
random,2000,0.0014878491999994025,0.00195595940000004
random,4000,0.0031841964000008716,0.004168756800000039
random,6000,0.004937819400001331,0.0065680098000001404
sorted,100,0.00026777180000010504,5.502939999928458e-05
sorted,500,0.005871826400000657,0.0003820641999993768
sorted,1000,0.025466177399998458,0.0008582508000003486
sorted,2000,0.10994108980000021,0.0018123002000010047
sorted,4000,0.4588480316000002,0.0041934367999999726
sorted,6000,1.0317365441999997,0.006565295399995818
reverse_sorted,100,0.00019747679999966296,6.016720000019404e-05
reverse_sorted,500,0.0045000688000016,0.0003908384000013143
reverse_sorted,1000,0.019775339400000293,0.0008996290000013119
reverse_sorted,2000,0.08242014460000036,0.0020664890000006153
reverse_sorted,4000,0.325684815999999,0.004373301799999752
reverse_sorted,6000,0.7261232486000011,0.006325134799999433
